Frame,Sub Frame,RF,BF,MG,LG,AT
35,3,0.00453949,0.0247192,0.0413513,0.0547028,0.00427246
35,4,-0.00511169,0.0128555,0.0355911,0.0506592,0.0140762
36,0,0.000228882,-0.0275803,0.0341797,0.0484467,0.0620651
36,1,0.0121689,-0.0144577,0.0376129,0.0491333,0.085907
36,2,0.00888824,0.0304031,0.0332642,0.0432587,0.0136948
36,3,0.00274658,0.0109482,0.0296021,0.0378418,0.00640869
36,4,-0.00713348,-0.00743866,0.0293732,0.0373459,0.0621414
37,0,-0.0172806,0.0719833,0.0312042,0.035553,0.0818634
37,1,-0.0153732,0.104942,0.032692,0.0372696,0.0935745
37,2,-0.01194,0.0174713,0.0342178,0.0380707,0.129623
37,3,-0.0128555,-0.0337982,0.03479,0.0348663,0.113907
37,4,-0.00953674,-0.0448227,0.0363922,0.0335693,0.0896072
38,0,-0.00804901,-0.0823593,0.0336838,0.0285721,0.0918579
38,1,-0.00598907,-0.106773,0.0305176,0.0242996,0.170441
38,2,-0.00896454,-0.0722885,0.0318527,0.0251389,0.0418854
38,3,-0.00671387,-0.10437,0.030632,0.0321198,-0.127487
38,4,-0.00705719,-0.0419998,0.0353622,0.0383759,-0.190964
39,0,-0.00286102,0.0334167,0.0439453,0.0440598,-0.104294
39,1,-0.00366211,0.0424194,0.0473022,0.0471497,0.100288
39,2,-0.00537872,0.0366592,0.0483322,0.0540161,0.156174
39,3,-0.00267029,0.0279617,0.0447464,0.0501633,0.0323105
39,4,0.00301361,0.0263596,0.039978,0.0453568,-0.0128174
40,0,0.00286102,0.0242615,0.0351715,0.0420761,-0.00362396
40,1,0.00377655,0.0247955,0.0315857,0.0408554,0.0774384
40,2,0.00278473,0.0260162,0.0366592,0.0455093,0.0844955
40,3,0.0025177,0.0144958,0.0389862,0.0486374,0.0730133
40,4,0.00297546,0.00892639,0.037384,0.0479889,0.134506
41,0,0.00400543,0.00743866,0.0344849,0.0460815,0.0802994
41,1,0.0043869,-0.00286102,0.034523,0.042305,0.0721359
41,2,0.00450134,-0.00423431,0.035553,0.0381851,0.0750351
41,3,0.00541687,0.00522614,0.0388336,0.0422668,0.0716019
41,4,0.00564575,0.0450516,0.0365067,0.0410461,0.0608444
42,0,0.00148773,0.0405884,0.0363541,0.044136,0.0574875
